id,address,categories,city,country,keys,latitude,longitude,name,postalCode,province,twitter,websites
AVwc_xQ7ByjofQCxkbUI,600 S Croatan Hwy,"Soul Food Restaurants,Seafood Restaurants,Restaurants,Bars Clubs,Bars Pubs,Pubs,Nightclubs,Brew Pubs,Neighborhood Bars,Taverns,Restaurant, Brewery, and Bar,Bars & Clubs,Bars & Pubs,Brewery, Beer Garden, and Restaurant,Kill Devil Hills",Kill Devil Hills,US,us/nc/killdevilhills/600scroatanhwy/-200120656,36.00948,-75.65945,Outer Banks Brewing Station,27948,NC,obxbrew,"http://www.obbrewing.com,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJJFSTv89GkvGey1ZLaoJwcebwV3VrULeukumcG5k63f-oQ6meRlzprHN_z6yf5SGnsbdg76PZhw7r1EO6XNIEwl9kRmt70RYf9OocICAscOWiQ-sPyVjh0I_bnIzHhNe5ugkLqdlKeSGcWo9i96FLAIPkFTL28k3OSTjLqoqq93oR_AfdL4Bbk_K4MSQmwpqGWhlLpq7a6JQaRShfiQv5sDqwBgsJFgl20Xs21v-r3-TLRvjVGfuUI02YSPT_9KNrA2UmjVn9uv07b4HSsI_2wlgaYdcTmPyy3TbGItD5-u_PXQdD5nSPY-P4FKIVvKtdE2OLiMzfkwaAwjtDp121kVdiHJRLQoeq&placement=listing_profile&cs_user=unknown&cs_session=1c0b2e3a46c1b54a0cff144dfe0ca5c8fe27d4e4"
AVwc_yobIN2L1WUfrI0q,2959 Hartman Rd,"Brewery,Bars,Bars & Clubs,Brew Pubs,Restaurants,Food & Drink,Nightlife,Breweries,Beer & Ale,Liquor Stores,Bar & Grills,Taverns",Traverse City,US,us/mi/traversecity/2959hartmanrd/1492349565,44.71511826,-85.63491321,Brewery Terra Firma,49685,MI,brewterrafirma,http://breweryterrafirma.com
AVwc0_3KByjofQCxio4E,600 S Main St,"Brewery,Food,Bars Clubs,Bars Pubs,Brew Pubs,Taverns,Liquor Stores,Restaurants,Grill Restaurants,Restaurant,Brewery and Food",Breckenridge,US,us/co/breckenridge/600smainst/1771228952,39.4792,-106.0457,Breckenridge Brewery & Pub,80424,CO,breckbrew,http://www.breckbrewpub.com
AVwc04L6ByjofQCxinjX,11200 Broadway St,"American Restaurant,Pizza Place,Brewery,Restaurants,Sandwich Shops,Pizza Restaurants,Italian Restaurants,Chicago Style Restaurants,Restaurant,American Restaurant, Pizza Place, and Brewery",Pearland,US,us/tx/pearland/11200broadwayst/554746294,29.555548,-95.393452,BJ's Restaurant and Brewhouse,77584,TX,bjsrestaurants,http://t.co/bl46gcjDLN
AVwc09_kkufWRAb5zcwx,9550 Distribution Ave,Brewery,San Diego,US,us/ca/sandiego/9550distributionave/-843837567,32.88051394,-117.1631384,Saint Archer Brewing Company,92121,CA,saintarcherbrew,http://www.saintarcherbrewery.com
AVwc097NIN2L1WUfpVqh,600 Pine St,"Brewery,American Restaurant",Seattle,US,us/wa/seattle/600pinest/-1268123268,47.61275608,-122.3348397,Gordon Biersch Brewery Restaurant,98101,WA,gordon_biersch,http://gordonbiersch.com
AVwc0bJK_7pvs4fzzTLv,1327 Huron Ave,"Brewery,Beer & Wine Stores",Sheboygan,US,us/wi/sheboygan/1327huronave/1673875976,43.75947972,-87.7216719,3 Sheeps Brewing Company,53081,WI,3sheepsbrewing,http://3sheepsbrewing.com
AVwc0bZfkufWRAb5zW0v,2540 19th St,"Brewery,Restaurant,Brewery Highland",Denver,US,us/co/denver/254019thst/1285574162,39.76138,-105.00667,Prost Brewing,80211,CO,prostbrewing,http://www.prostbrewing.com
AVwc0DMxkufWRAb5zSqD,2530 Parkway,"Brewery,American Restaurant,Gastropub,Brewery, American Restaurant, and Gastropub,Bars,Brew Pubs,Restaurants,Beer & Ale,Bar & Grills,Taverns,women's clothing stores",Pigeon Forge,US,us/tn/pigeonforge/2530parkway/871959066,35.80689,-83.57754,Smoky Mountain Brewery,37863,TN,smokymtnbrewery,"http://smoky-mtn-brewery.com,http://www.smoky-mtn-brewery.com"
AVwc0EQZkufWRAb5zS2e,16990 Via Tazon,"Restaurant,American,Bar,Brewery",San Diego,US,us/ca/sandiego/16990viatazon/-1411468901,33.02385,-117.08575,The Cork and Craft,92127,CA,abnormalwine,"http://thecorkandcraft.com/,http://www.thecorkandcraft.com/"
